,Package,Sub_package,Prop_type,Difficulty_level,Holiday Package
0,yoga,hatha,camp,beginner,yoga_package_1
1,yoga,vinyasa,camp,beginner,yoga_package_2
2,yoga,ashtanga,camp,beginner,yoga_package_3
3,yoga,anusara,camp,beginner,yoga_package_4
4,yoga,bikram,camp,beginner,yoga_package_5
5,yoga,kundalini,camp,beginner,yoga_package_6
6,yoga,nada,camp,beginner,yoga_package_7
7,yoga,yin yang,camp,beginner,yoga_package_8
8,yoga,chakra,camp,beginner,yoga_package_9
9,yoga,siddhi,camp,beginner,yoga_package_10
10,yoga,purna,camp,beginner,yoga_package_11
11,yoga,raja,camp,beginner,yoga_package_12
12,yoga,maha,camp,beginner,yoga_package_13
13,yoga,char,camp,beginner,yoga_package_14
14,yoga,bhakti,camp,beginner,yoga_package_15
15,yoga,kriya,camp,beginner,yoga_package_16
16,yoga,power,camp,beginner,yoga_package_17
17,yoga,vipasana,camp,beginner,yoga_package_18
18,yoga,pregnent,camp,beginner,yoga_package_19
19,yoga,prenatal,camp,beginner,yoga_package_20
20,yoga,pranyama,camp,beginner,yoga_package_21
21,yoga,yin,camp,beginner,yoga_package_22
22,yoga,restorative,camp,beginner,yoga_package_23
23,yoga,nidra,camp,beginner,yoga_package_24
24,yoga,flow,camp,beginner,yoga_package_25
25,yoga,teacher training,camp,beginner,yoga_package_26
26,massage,relaxation therapeutic,camp,beginner,massage_package_1
27,massage,ayurveda de stress,camp,beginner,massage_package_2
28,massage,rejuvenation therapeautic,camp,beginner,massage_package_3
29,massage,salt glow,camp,beginner,massage_package_4
30,massage,deep tissue,camp,beginner,massage_package_5
31,massage,manipuri,camp,beginner,massage_package_6
32,massage,grounding aromatherapy,camp,beginner,massage_package_7
33,massage,thai,camp,beginner,massage_package_8
34,massage,indian head,camp,beginner,massage_package_9
35,massage,active,camp,beginner,massage_package_10
36,massage,sports recovery,camp,beginner,massage_package_11
37,massage,swedish,camp,beginner,massage_package_12
38,massage,earth stone,camp,beginner,massage_package_13
39,massage,kundilini back,camp,beginner,massage_package_14
40,massage,anti aging aroma,camp,beginner,massage_package_15
41,massage,detoxifying ayurvedic,camp,beginner,massage_package_16
42,massage,reflexology,camp,beginner,massage_package_17
43,massage,rejuvenation aroma,camp,beginner,massage_package_18
44,massage,healing scrub,camp,beginner,massage_package_19
45,massage,tonic vibro,camp,beginner,massage_package_20
46,massage,merma,camp,beginner,massage_package_21
47,meditation,loving-kindness meditation,camp,beginner,meditation_package_1
48,meditation,body scan or progressive relaxation,camp,beginner,meditation_package_2
49,meditation,mindfulness meditation,camp,beginner,meditation_package_3
50,meditation,breath awareness meditation,camp,beginner,meditation_package_4
51,meditation,kundalini yoga,camp,beginner,meditation_package_5
52,meditation,zen meditation,camp,beginner,meditation_package_6
53,meditation,transcendental meditation,camp,beginner,meditation_package_7
54,meditation,focussed attention meditation,camp,beginner,meditation_package_8
55,naturopathy,mud pack,camp,beginner,naturopathy_package_1
56,naturopathy,hydrotherapy,camp,beginner,naturopathy_package_2
57,naturopathy,hip bath,camp,beginner,naturopathy_package_3
58,naturopathy,spinal bath,camp,beginner,naturopathy_package_4
59,naturopathy,jet spray,camp,beginner,naturopathy_package_5
60,naturopathy,jacuzzi,camp,beginner,naturopathy_package_6
61,naturopathy,pranayama,camp,beginner,naturopathy_package_7
62,naturopathy,sunbath,camp,beginner,naturopathy_package_8
63,naturopathy,fasting,camp,beginner,naturopathy_package_9
64,naturopathy,aromatic hydrotherapy,camp,beginner,naturopathy_package_10
65,naturopathy,stimulating jet blitz showers,camp,beginner,naturopathy_package_11
66,naturopathy,jal neti,camp,beginner,naturopathy_package_12
67,naturopathy,kunjal kriya,camp,beginner,naturopathy_package_13
68,naturopathy,message therapy,camp,beginner,naturopathy_package_14
69,naturopathy,chromo therapy,camp,beginner,naturopathy_package_15
70,naturopathy,diet therapy,camp,beginner,naturopathy_package_16
71,naturopathy,sauna,camp,beginner,naturopathy_package_17
72,ayurvedic,abhyanga,camp,beginner,ayurvedic_package_1
73,ayurvedic,takradhara,camp,beginner,ayurvedic_package_2
74,ayurvedic,narangakizi,camp,beginner,ayurvedic_package_3
75,ayurvedic,sirodhara,camp,beginner,ayurvedic_package_4
76,ayurvedic,pizichil,camp,beginner,ayurvedic_package_5
77,ayurvedic,mukh lepa,camp,beginner,ayurvedic_package_6
78,ayurvedic,tan lepa,camp,beginner,ayurvedic_package_7
79,ayurvedic,navarakizi,camp,beginner,ayurvedic_package_8
80,ayurvedic,choorna swedana,camp,beginner,ayurvedic_package_9
81,ayurvedic,janu vasti,camp,beginner,ayurvedic_package_10
82,ayurvedic,udh warthana,camp,beginner,ayurvedic_package_11
83,ayurvedic,lepam,camp,beginner,ayurvedic_package_12
84,ayurvedic,nijavarakizi,camp,beginner,ayurvedic_package_13
85,ayurvedic,kati vasti,camp,beginner,ayurvedic_package_14
86,ayurvedic,thalapizhichil,camp,beginner,ayurvedic_package_15
87,ayurvedic,siro vasthy,camp,beginner,ayurvedic_package_16
88,ayurvedic,snehapanam,camp,beginner,ayurvedic_package_17
89,ayurvedic,swedana karma,camp,beginner,ayurvedic_package_18
90,ayurvedic,oil message,camp,beginner,ayurvedic_package_19
91,ayurvedic,elakizi,camp,beginner,ayurvedic_package_20
92,ayurvedic,polikizi,camp,beginner,ayurvedic_package_21
93,ayurvedic,nasyam,camp,beginner,ayurvedic_package_22
94,ayurvedic,virechanam,camp,beginner,ayurvedic_package_23
95,ayurvedic,vasathy,camp,beginner,ayurvedic_package_24
96,ayurvedic,tharpanam,camp,beginner,ayurvedic_package_25
97,ayurvedic,vamana,camp,beginner,ayurvedic_package_26
98,ayurvedic,rakthamoksham,camp,beginner,ayurvedic_package_27
99,ayurvedic,snehana karma,camp,beginner,ayurvedic_package_28
100,ayurvedic,lifestyle disorder ,camp,beginner,ayurvedic_package_29
101,ayurvedic,herbology,camp,beginner,ayurvedic_package_30
102,therapy,reiki,camp,beginner,therapy_package_1
103,therapy,accupunture,camp,beginner,therapy_package_2
104,therapy,aromatherapy,camp,beginner,therapy_package_3
105,therapy,mantra chanting,camp,beginner,therapy_package_4
106,therapy,eye rejuvenator,camp,beginner,therapy_package_5
107,therapy,jasmine salt scrub,camp,beginner,therapy_package_6
108,therapy,physiotherapy,camp,beginner,therapy_package_7
109,therapy,reflexology,camp,beginner,therapy_package_8
110,therapy,grounding salt scrub,camp,beginner,therapy_package_9
111,therapy,grounding aroma cocoon,camp,beginner,therapy_package_10
112,therapy,energising earth wrap detoxification,camp,beginner,therapy_package_11
113,therapy,aroma cocoon,camp,beginner,therapy_package_12
